,G_symbol,head1,head2,head3,head4,head5,head6,head7,head8,abs_mean
37,GABARAPL2,-0.006371843675021467,-0.006526207749939831,0.0005777624737666855,-0.017104623100817107,-0.002832832838036983,-0.00026596274784545804,-0.0018285501211778032,0.0066408132640062,0.005268574496326442
38,TIMP2,0.0015938566462017625,-0.0016875247556509291,-0.0011343040630610217,-0.006212372895040352,8.78517427822522e-05,0.0027010558089628923,-0.0006644870601403384,0.004043795191228671,0.0022656560203835273
39,CUL3,0.002876100106604188,-0.00020542453503732597,0.0013477599683120185,-0.003779699107012091,0.0006601216009973016,-0.008639823045240112,0.0005111006515166685,0.0034794732739468065,0.002687437786083314
40,CASR,0.00034656537402704476,-0.008673089861437161,0.0022651681613820285,-0.009989444569779404,-0.0014009719464938809,-0.0038933431908269225,-0.0009156695559418966,0.003902653991549765,0.003923363331429763
41,FLT4,-0.0011739325293570625,0.006312901930504363,0.0013221842091672756,0.0018805869228570584,-0.0009004993028086334,0.00856864226857974,-0.0027358893594471613,-0.0014621224415647877,0.00304459487053576
42,TRIO,-0.001360187726733304,-0.01197633362693262,-0.00130783932019632,-0.001805315928949978,0.0013041107922969778,0.007974821667482462,-0.0024743152527295876,0.006521337568825187,0.004340532735518305
43,CDH1,0.005165113087521078,-0.010279803479701475,-0.0013213945487507183,0.010273325320360684,-0.003668579068613641,-0.0052143912967551045,0.0002537985483470368,0.0019564991099267704,0.004766613057497064
44,SPDL1,-0.00040289062895430995,-0.003874925208618735,-0.0003223174199082054,-0.001467285000360482,0.0008121166210341995,0.0026710691297965193,-0.0008643090563936498,-0.00044048210710541944,0.00135692439652144
45,CUL7,0.0009636593109122901,-0.0029563449622930084,-0.0012791542008938805,-0.002834897607486507,0.000619143861483249,-0.0073639594972361895,-3.615451824641207e-05,-0.0008181800476828763,0.002108936750779301
46,CTNNA1,0.0005680203957559646,-0.00623179478083861,0.001132961232556996,-0.004378293230668751,-0.0010150661380540055,-0.004892049460469643,0.0011099240030442241,-0.006161563965414224,0.0031862091508503025
47,HSPA5,-0.0008631206322489862,0.005781579425012572,-3.8944048164267484e-07,0.0033036018685260104,0.0019960997491152584,-0.0004909122376068662,0.0005213002483339918,0.0003486476524409237,0.0016632064067207816
